Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,14.0,0.7145833333333332,51.95815768656399,3.463877179104266,14.333333333333334,71.66666666666667,0.6666666666666666,7.0,0.75,[],20.0,40.165974922477325,97.08487074392428,64.25836260092588,0.75,-81.18349291574883,20.0,1.0
Baseline,15.0,0.6982499999999999,51.0605030813094,3.404033538753959,14.0,70.0,1.0,8.0,0.75,[],20.0,35.561712003431744,90.14628366777124,61.66993257208967,0.75,-81.06791515992835,20.0,1.0
Baseline,16.0,0.7195833333333334,52.84007709983057,3.5226718066553713,14.666666666666666,73.33333333333333,0.6666666666666666,8.666666666666666,0.75,[],20.0,42.60500174959623,93.44112743850434,64.19539579943438,0.75,-81.02582693399191,20.0,1.0
Baseline,17.0,0.7162499999999999,52.71238188242658,3.5141587921617714,14.666666666666666,73.33333333333333,1.0,9.666666666666666,0.75,[],20.0,39.78067621717571,91.66516633264388,63.67363312360856,0.75,-80.34522311448681,20.0,1.0
Baseline,18.0,0.7139166666666666,51.63105733500834,3.4420704890005567,14.333333333333334,71.66666666666667,0.3333333333333333,10.0,0.75,[],20.0,34.832870207279306,89.42453262927198,62.253772271952904,0.75,-80.66250977988285,20.0,1.0
Baseline,19.0,0.7229166666666668,53.53680596172388,3.5691203974482586,14.666666666666666,73.33333333333333,0.3333333333333333,10.333333333333334,0.75,[],20.0,42.904424720900344,96.73924084311017,65.41337686706278,0.75,-80.55053048989448,20.0,1.0
Baseline,20.0,0.7279166666666667,54.32159436067561,3.6214396240450406,15.0,75.0,0.3333333333333333,10.666666666666666,0.75,[],20.0,47.8130705006623,90.28918018664167,65.25174504191384,0.75,-79.70260214807409,20.0,1.0
Baseline,21.0,0.72625,53.14211481383487,3.542807654255659,14.666666666666666,73.33333333333333,0.0,10.666666666666666,0.75,[],20.0,41.24522755092938,92.53174659305098,64.83353928119925,0.75,-80.08826799771936,20.0,1.0
Baseline,22.0,0.7195833333333334,52.30279087901647,3.486852725267765,14.666666666666666,73.33333333333333,0.6666666666666666,11.333333333333334,0.75,[],20.0,41.10090440610583,86.04092571491117,62.66391065389265,0.75,-80.23264457883947,20.0,1.0
Baseline,23.0,0.7212500000000001,51.067635556629966,3.404509037108665,14.333333333333334,71.66666666666667,0.0,11.333333333333334,0.75,[],20.0,39.63400250204996,87.74805666513429,62.752147347963835,0.75,-80.81703354656024,20.0,1.0
Baseline,24.0,0.7279166666666667,53.552092133130344,3.5701394755420224,15.0,75.0,0.3333333333333333,11.666666666666666,0.75,[],20.0,45.65694310793615,92.55405356667745,64.70530405383444,0.75,-79.58704155894189,20.0,1.0
Baseline,25.0,0.7279166666666667,54.971843620490574,3.6647895746993715,15.0,75.0,0.3333333333333333,12.0,0.75,[],20.0,43.93336178471651,92.13779134912158,65.29094175845228,0.75,-79.53375294670381,20.0,1.0
