Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,15.0,0.8405833333333333,49.48477577604103,3.2989850517360684,13.666666666666666,91.11111111111113,0.3333333333333333,7.333333333333333,0.75,[],15.0,28.43977995115577,83.64125895889971,51.697892107130606,1.0222222222222221,-91.44332790987364,15.0,1.0
Baseline,16.0,0.8559166666666665,53.51772923977359,3.567848615984906,14.0,93.33333333333333,0.0,7.333333333333333,0.75,[],15.0,33.56073147821241,72.26284871041155,52.65856006917098,1.0222222222222221,-91.85522832693631,15.0,1.0
Baseline,17.0,0.8479166666666665,47.49779299611242,3.166519533074162,13.333333333333334,88.8888888888889,0.0,7.333333333333333,0.75,[],15.0,30.626454178649848,85.77017115472442,51.29165849129657,1.0222222222222221,-91.77857236875637,15.0,1.0
Baseline,18.0,0.86125,54.40725338864045,3.627150225909363,14.333333333333334,95.55555555555554,0.6666666666666666,8.0,0.75,[],15.0,36.46968494568127,86.98904627411048,54.43483315825108,1.0222222222222221,-91.57566433436341,15.0,1.0
Baseline,19.0,0.87125,51.269852976645005,3.417990198443,14.666666666666666,97.77777777777777,0.3333333333333333,8.333333333333334,0.75,[],15.0,36.586114993547376,80.20038609468594,52.978686331500484,1.0,-91.71335142851724,15.0,1.0
Baseline,20.0,0.8405833333333333,49.24813887004822,3.2832092580032146,13.666666666666666,91.1111111111111,0.3333333333333333,8.666666666666666,0.75,[],15.0,29.18293861037292,86.26395459676326,52.03048728866318,1.0,-91.76917667966607,15.0,1.0
Baseline,21.0,0.8372499999999999,50.99437684552756,3.3996251230351713,13.333333333333334,88.88888888888887,0.0,8.666666666666666,0.75,[],15.0,26.10046785968645,83.13666050407771,52.665782515427416,1.0,-93.10692147325346,15.0,1.0
Baseline,22.0,0.8372499999999999,50.68729319127519,3.3791528794183456,14.0,93.33333333333333,1.3333333333333333,10.0,0.75,[],15.0,31.608955771580643,89.49721419967845,52.60782880508313,1.0222222222222221,-91.7918197786109,15.0,1.0
Baseline,23.0,0.87125,52.485158918386475,3.4990105945590977,14.666666666666666,97.77777777777777,0.3333333333333333,10.333333333333334,0.75,[],15.0,37.17711639226491,96.34449465223759,54.09540098592863,1.0444444444444443,-92.29367363590593,15.0,1.0
Baseline,24.0,0.8405833333333333,53.121642718006996,3.5414428478671334,13.666666666666666,91.1111111111111,0.3333333333333333,10.666666666666666,0.75,[],15.0,27.502778039055844,80.31945833481227,53.36773179944521,1.0222222222222221,-91.6177863795881,15.0,1.0
